Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
Dining Room and Cafeteria Attendants and Bartender Helpers,1.24,32200
Dishwashers,0.88,28720
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.72,29670
"Food Preparation and Serving Related Workers, All Other",1.0,29090
Building and Grounds Cleaning and Maintenance Occupations,1.07,38440
First-Line Supervisors of Housekeeping and Janitorial Workers,1.1,56390
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.77,62230
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.34,37140
Maids and Housekeeping Cleaners,0.79,37510
Pest Control Workers,0.83,43590
Landscaping and Groundskeeping Workers,0.78,36930
Tree Trimmers and Pruners,0.64,53770
"Grounds Maintenance Workers, All Other",3.4,30660
Personal Care and Service Occupations,1.23,37140
First-Line Supervisors of Gambling Services Workers,0.09,47780
"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",1.25,51200
Animal Trainers,1.24,41880
Animal Caretakers,0.86,30260
Gambling and Sports Book Writers and Runners,0.65,34890
Motion Picture Projectionists,1.99,36430
"Ushers, Lobby Attendants, and Ticket Takers",1.23,31780
Amusement and Recreation Attendants,0.77,27210
Costume Attendants,3.11,69390
"Locker Room, Coatroom, and Dressing Room Attendants",1.7,32130
"Entertainment Attendants and Related Workers, All Other",1.43,33110
Funeral Attendants,0.38,36580
"Morticians, Undertakers, and Funeral Arrangers",0.99,64940
Barbers,1.33,34740
"Hairdressers, Hairstylists, and Cosmetologists",1.27,36130
"Makeup Artists, Theatrical and Performance",2.18,105070
Manicurists and Pedicurists,3.45,26490
Shampooers,2.46,23650
Skincare Specialists,1.78,41370
Baggage Porters and Bellhops,1.39,34350
Concierges,2.39,44050
Tour and Travel Guides,0.86,37130
Childcare Workers,1.41,30060
Exercise Trainers and Group Fitness Instructors,1.25,61940
Recreation Workers,1.29,34130
Residential Advisors,0.82,38870
"Crematory Operators and Personal Care and Service Workers, All Other",0.77,34830
Sales and Related Occupations,0.99,57830
First-Line Supervisors of Retail Sales Workers,0.83,54810
First-Line Supervisors of Non-Retail Sales Workers,1.43,107980
Cashiers,0.83,27550
Gambling Change Persons and Booth Cashiers,0.29,44350
Counter and Rental Clerks,0.73,34090
Parts Salespersons,0.48,43040
Retail Salespersons,1.02,32300
Advertising Sales Agents,2.45,88030
Insurance Sales Agents,0.85,82910
"Securities, Commodities, and Financial Services Sales Agents",2.53,149880
Travel Agents,1.35,47630
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1.19,84950
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.69,111650
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.96,79850
Demonstrators and Product Promoters,1.18,39510
Real Estate Brokers,0.79,120210
Real Estate Sales Agents,0.53,103700
Sales Engineers,0.59,116960
Telemarketers,0.58,35000
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.86,52600
"Sales and Related Workers, All Other",0.84,53110
Office and Administrative Support Occupations,1.06,47790
First-Line Supervisors of Office and Administrative Support Workers,1.11,73300
"Switchboard Operators, Including Answering Service",0.75,39710
Telephone Operators,1.85,46290
"Communications Equipment Operators, All Other",0.34,54040
Bill and Account Collectors,0.75,47820
Billing and Posting Clerks,1.23,46350
"Bookkeeping, Accounting, and Auditing Clerks",1.0,49460
Gambling Cage Workers,0.1,39160
Payroll and Timekeeping Clerks,0.83,51530
Procurement Clerks,1.09,47650
Tellers,0.87,34480
"Financial Clerks, All Other",0.97,56200
Brokerage Clerks,1.93,69070
Correspondence Clerks,0.54,42080
"Court, Municipal, and License Clerks",0.74,61640
"Credit Authorizers, Checkers, and Clerks",1.13,49240
Customer Service Representatives,0.81,43680
"Eligibility Interviewers, Government Programs",0.87,52840
File Clerks,1.53,34870
"Hotel, Motel, and Resort Desk Clerks",0.48,35610
"Interviewers, Except Eligibility and Loan",1.23,42160
"Library Assistants, Clerical",1.06,35680
Loan Interviewers and Clerks,0.55,48040
New Accounts Clerks,0.68,42680
Order Clerks,0.96,38990
"Human Resources Assistants, Except Payroll and Timekeeping",1.36,47960
Receptionists and Information Clerks,1.56,36110
Reservation and Transportation Ticket Agents and Travel Clerks,1.14,46940
"Information and Record Clerks, All Other",0.51,48990
Cargo and Freight Agents,1.24,53950
Couriers and Messengers,1.71,35430
Public Safety Telecommunicators,0.97,48930
"Dispatchers, Except Police, Fire, and Ambulance",1.04,52730
Postal Service Clerks,1.07,52680
Postal Service Mail Carriers,1.01,53410
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1.56,52250
"Production, Planning, and Expediting Clerks",1.53,53630
"Shipping, Receiving, and Inventory Clerks",0.72,38680
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.99,39120
Executive Secretaries and Executive Administrative Assistants,2.52,74640
Legal Secretaries and Administrative Assistants,1.44,57220
Medical Secretaries and Administrative Assistants,0.36,44350
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.2,43550
Data Entry Keyers,1.32,40680
Word Processors and Typists,3.28,47450
Desktop Publishers,1.36,51950
Insurance Claims and Policy Processing Clerks,0.62,50430
"Mail Clerks and Mail Machine Operators, Except Postal Service",1.54,35150
"Office Clerks, General",0.95,37590
